cellBC	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9
f3_DEW115_bcGSAE	0	0	3	3	3	3	3	3	0	3
f3_DEW115_bcGTOU	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcGTSO	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcGXTH	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcHAED	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcHBOE	0	0	3	11	0	11	11	11	6	3
f3_DEW115_bcHGXJ	0	0	3	0	0	11	11	11	6	3
f3_DEW115_bcHIMP	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcHISG	5	5	6	6	6	6	6	6	4	7
f3_DEW115_bcHVCF	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcIAYV	54	39	37	65	0	72	60	82	41	30
f3_DEW115_bcIBZT	0	0	9	12	11	12	12	12	0	10
f3_DEW115_bcIDGO	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcIFKT	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcIHMU	2	2	2	2	2	2	2	2	2	2
f3_DEW115_bcIIXP	54	39	37	65	0	72	60	82	41	30
f3_DEW116_bcADJJ	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcAGGD	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcAKBJ	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcAKOR	0	0	9	12	11	12	12	12	0	10
f3_DEW116_bcAPZV	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcARMI	55	35	34	64	66	52	44	60	31	31
f3_DEW116_bcBIUI	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcBJIN	17	11	15	25	25	25	22	27	0	18
f3_DEW116_bcBKNV	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcBKRV	15	9	7	19	19	19	17	21	10	14
f3_DEW116_bcBLEF	24	23	8	44	45	43	39	48	25	13
f3_DEW116_bcBLSP	26	17	20	36	38	37	33	41	20	13
f3_DEW116_bcBOVD	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcBTUQ	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcBZFF	11	0	9	12	11	12	12	12	0	10
f3_DEW116_bcBZIP	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcCCBX	11	0	9	12	11	12	12	12	0	10
f3_DEW116_bcCCZP	56	40	38	70	72	8	8	8	0	7
f3_DEW116_bcCDJK	30	0	3	20	20	20	0	49	0	3
f3_DEW116_bcCFZR	16	0	12	22	22	22	19	24	0	16
f3_DEW116_bcCSNO	0	41	39	71	73	73	61	83	42	7
