"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"cell_732","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_245","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_1011","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_773","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_649","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_739","5","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_849","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_515","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_555","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_811","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_785","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_61","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_10","-","-","-","-","-","-","-","-","-","0","-","-","-","-","2","2"
"cell_911","2","14","2","0","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_403","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_647","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_964","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_832","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_852","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_476","-","-","-","-","-","-","-","-","-","5","-","-","-","-","0","2"
"cell_1022","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_207","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_176","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_27","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_139","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_264","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_78","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_716","0","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_443","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_978","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_757","0","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_907","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_453","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","4"
"cell_353","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_198","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_54","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_384","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_325","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_282","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_615","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_655","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_357","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_44","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_187","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_621","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_161","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_177","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_112","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
"cell_534","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_588","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_256","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_554","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_30","-","-","-","-","-","-","-","-","-","0","-","-","-","-","2","2"
"cell_88","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_269","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_983","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_466","-","-","-","-","-","-","-","-","-","5","-","-","-","-","3","2"
"cell_439","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_338","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_834","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_39","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_291","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
